gdp_2018_wb,source_iso_code,source_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,ets_23_usd_recon,ets_30_usd_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,ets_23_pct_gdp,ets_30_pct_gdp,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
14262408079.7005,204,Benin,166910778.743,84327083.75700001,166910778.743,84327083.75700003,14.654568101476514,1128.4392663103606,0.0,1857.9638532280487,445294.2702412404,440386.86280797306,381105.70914868894,375005.5699815279,445294.2702412404,500425.5980809376,603698.1020603237,639762.7248327114,100.0,100.0,0.0,1e-05,0.0,60038.73527296452,222592.39291163476,264757.15485118347,0.00312,0.00309,0.00267,0.00263,0.00312,0.00351,0.00423,0.00449,0.0,0.00042,0.00156,0.00186
356841216410.068,208,Denmark,11566485685.346,21435527025.199,11566485685.346,21435527025.199,2326.710092563048,176184.29743257788,0.0,32768557.798333712,93181563.92919241,89689036.4402703,81380521.3920505,79156057.38566515,93181563.92919241,102488552.9066859,126910420.92886582,134462042.2656688,100.0,100.0,0.0,0.00918,0.0,12799516.466415599,45529899.536815315,55305984.88000366,0.02611,0.02513,0.02281,0.02218,0.02611,0.02872,0.03556,0.03768,0.0,0.00359,0.01276,0.0155
554770370.37037,212,Dominica,4338952.578,12239745.994,4338952.578,12239745.994,0.7674746795086828,59.102939944066605,0.0,0.0,37065.81209268036,34328.879092885654,33807.73892920291,33641.66453659263,37065.81209268036,42394.20227989675,55363.24144899242,58118.315378965504,100.0,100.0,0.0,0.0,0.0,8065.323187011098,21555.50251978951,24476.650842372874,0.00668,0.00619,0.00609,0.00606,0.00668,0.00764,0.00998,0.01048,0.0,0.00145,0.00389,0.00441
85555390385.9812,214,Dominican Republic,1103851973.364,2436088776.789,1103851973.364,2436088776.789,245.78684786506008,18924.373255294446,0.0,379732.21997625835,8399461.19444284,7711160.58679575,7139144.4155418,6891988.517637054,8399461.19444284,9268851.705560531,12249436.101928135,12920981.682756247,100.0,100.0,0.0,0.00044,0.0,1557691.1187647814,5110291.686386336,6028993.165119193,0.00982,0.00901,0.00834,0.00806,0.00982,0.01083,0.01432,0.0151,0.0,0.00182,0.00597,0.00705
107562008000.0,218,Ecuador,16642341232.085001,9151933460.831,16642341232.085001,9151933460.831,4031.8170761022634,311111.0800555975,0.0,1126864.152672429,170797427.67964345,166295786.7472763,146187025.87108764,141597166.0294419,170797427.67964345,187537712.52345335,232830059.11575887,245173794.97305274,100.0,100.0,0.0,0.00105,0.0,21241925.77617705,86643033.24467123,103576628.94361085,0.15879,0.1546,0.13591,0.13164,0.15879,0.17435,0.21646,0.22794,0.0,0.01975,0.08055,0.09629
26020850000.0,222,El Salvador,1097587020.723,805266646.551,1097587020.723,805266646.551,146.615533236223,11328.4803891439,0.0,1546.6333795983303,6697863.312074742,6767295.75274207,5660771.351813679,5494350.780969389,6697863.312074742,7673222.500804899,9010588.020538906,9499473.339519178,100.0,100.0,0.0,1e-05,0.0,905926.7480628295,3349816.668725227,4005122.5585497897,0.02574,0.02601,0.02175,0.02112,0.02574,0.02949,0.03463,0.03651,0.0,0.00348,0.01287,0.01539
13097012124.2261,226,Equatorial Guinea,6844501708.802001,3262433186.4089994,6844501708.802001,3262433186.4089994,4286.406414802558,329213.4065737052,0.0,4364987.201832817,232347490.68647218,229932418.69875732,195919267.02521214,195335634.22381994,232347490.68647218,249182627.52341732,296230568.1342017,323052551.0661798,100.0,100.0,0.0,0.03333,0.0,19250208.824660003,100311301.10898957,127716916.84235987,1.77405,1.75561,1.49591,1.49145,1.77405,1.90259,2.26182,2.46661,0.0,0.14698,0.76591,0.97516
84269196152.0333,231,Ethiopia,220194355.48400003,313377725.177,220194355.48400003,313377725.177,30.888645335166864,2388.5691529932355,0.0,5752.350848626629,1598918.284567332,1601877.213655859,1346480.9073390104,1323516.1350453612,1598918.284567332,1853937.9977659036,2183583.5406017057,2312005.061852843,100.0,100.0,0.0,1e-05,0.0,252060.7841100446,837102.6332626953,988488.9268074818,0.0019,0.0019,0.0016,0.00157,0.0019,0.0022,0.00259,0.00274,0.0,0.0003,0.00099,0.00117
,232,Eritrea,33501.037,63564.514,33501.037,63564.513999999996,0.0021629599518068,0.1648433960013214,0.0,0.0,81.04746616186779,74.69798372995011,70.84405542764807,66.15293285455888,81.04746616186779,87.21169085939762,123.24117566566864,130.08905345422886,100.0,100.0,,,0.0,12.51370712944751,52.39712023802056,63.93612059966998,,,,,,,,,,,,
30624720196.2285,233,Estonia,5072086299.104,3746969931.682,5072086299.104,3746969931.682,854.500088388606,64704.23844518552,0.0,12691548.791181084,33936914.381215245,32653950.420281045,29330713.916111287,28232998.91458923,33936914.381215245,36934287.70272229,46381181.087610215,48895601.27592407,100.0,100.0,0.0,0.04144,0.0,4280337.2824412435,17050467.17149893,20662602.36133484,0.11082,0.10663,0.09577,0.09219,0.11082,0.1206,0.15145,0.15966,0.0,0.01398,0.05568,0.06747
