gdp_2018_wb,dest_iso_code,dest_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,ets_23_usd_recon,ets_30_usd_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,ets_23_pct_gdp,ets_30_pct_gdp,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
127341141871.205,504,Morocco,28869796379.801,19077235966.389,28869796379.801,19077235966.389,6749.228458675602,518892.1122640571,0.0,25609251.473013736,292907883.5746514,287146537.4106291,252406228.02360272,246652324.58881202,292907883.5746514,323941781.25845444,392630896.85676366,416804967.15679383,100.0,100.0,0.0,0.02011,0.0,36795243.84782535,140224668.83316094,170152642.5679818,0.23002,0.22549,0.19821,0.19369,0.23002,0.25439,0.30833,0.32731,0.0,0.0289,0.11012,0.13362
14845400592.6712,508,Mozambique,17380868463.988,1845390541.913,17380868463.988,1845390541.913,4374.075474891367,338262.04175848933,0.0,3189005.212003253,216596115.856758,214921539.10848,185728944.96049276,179598936.44019538,216596115.856758,238764505.7259329,285758035.74532175,301648455.28864074,100.0,100.0,0.0,0.02148,0.0,23842966.61745289,100029090.78482899,122049518.84844536,1.45901,1.44773,1.25109,1.2098,1.45901,1.60834,1.92489,2.03193,0.0,0.16061,0.67381,0.82214
91505851755.5267,512,Oman,9915241332.779,7049441897.175,9915241332.779,7049441897.175,1252.7125803343959,96821.9168757224,0.0,589290.4222231449,45017807.470858134,42898937.07232822,38231417.51053596,36632836.81370992,45017807.470858134,48390121.63038291,61431577.69768161,64565433.61150715,100.0,100.0,0.0,0.00064,0.0,5491184.558054693,23200160.18714565,27932596.797797225,0.0492,0.04688,0.04178,0.04003,0.0492,0.05288,0.06713,0.07056,0.0,0.006,0.02535,0.03053
13682019171.6627,516,Namibia,1355264981.056,2051299303.727,1355264981.056,2051299303.727,364.7391488390044,28062.913805455006,0.0,294075.24975467904,15646095.21431096,15082588.14468584,13661184.408214403,13342390.178608121,15646095.21431096,16791829.013698414,21106312.22738006,22496117.457865994,100.0,100.0,0.0,0.00215,0.0,1709240.8690125737,7445127.819165656,9153727.279257873,0.11436,0.11024,0.09985,0.09752,0.11436,0.12273,0.15426,0.16442,0.0,0.01249,0.05442,0.0669
33111525182.7133,524,Nepal,6052907594.487,4402843741.019,6052907594.487,4402843741.019,503.5548445828002,38646.25316694633,0.0,140974.8554583219,25476565.42072204,24903631.991625085,22484109.67117838,21869640.421504185,25476565.42072204,28282588.944122262,33974945.0173674,35696690.96481973,100.0,100.0,0.0,0.00043,0.0,3378956.952497177,11490835.346189022,13827050.543315545,0.07694,0.07521,0.0679,0.06605,0.07694,0.08542,0.10261,0.10781,0.0,0.0102,0.0347,0.04176
914043438179.591,528,Netherlands (Kingdom of the),177825618361.663,155136995341.06,177825618361.663,155136995341.06,34151.23072692329,2601893.235606341,0.0,473391003.538674,1259646872.1678429,1196124803.3916621,1096214581.4556925,1058449734.5557855,1259646872.1678429,1342254779.1889713,1696757773.7717814,1788109153.3718123,100.0,100.0,0.0,0.05179,0.0,146129975.79730916,600543192.3160889,729659418.8160268,0.13781,0.13086,0.11993,0.1158,0.13781,0.14685,0.18563,0.19563,0.0,0.01599,0.0657,0.07983
3276187709.49721,533,Aruba,275277786.416,577574155.321,275277786.416,577574155.321,44.2931587045187,3405.7383599549084,0.0,1.0851046176728347,1875010.353194111,1793058.7904597141,1643004.0327350395,1581592.5744745187,1875010.353194111,2040328.2936133314,2638068.075550759,2798398.77406261,100.0,100.0,0.0,0.0,0.0,247269.50315361726,995064.0428157197,1216806.1995880916,0.05723,0.05473,0.05015,0.04828,0.05723,0.06228,0.08052,0.08542,0.0,0.00755,0.03037,0.03714
211886686924.483,554,New Zealand,13232892110.023,13365195290.869,13232892110.023,13365195290.869,4975.118687797016,384586.4747995375,0.0,1264574.8179139763,245887189.3584699,242810668.1230219,209656739.12154618,207298675.40371674,245887189.3584699,276586198.72135913,333296902.005966,355067439.2959417,100.0,100.0,0.0,0.0006,0.0,33775530.59833723,123640162.88441983,147768763.89222497,0.11605,0.11459,0.09895,0.09783,0.11605,0.13053,0.1573,0.16757,0.0,0.01594,0.05835,0.06974
13025266513.3167,558,Nicaragua,2483161294.711,1668716592.3869998,2483161294.711,1668716592.3869998,383.3666738140604,29561.400194333997,0.0,431.8064172559848,16076086.178716997,15821272.18475329,13888242.916442621,13674441.043190306,16076086.178716997,17607251.24462798,21583070.57346525,23055374.203456342,100.0,100.0,0.0,0.0,0.0,1785979.0598746892,7694827.657022629,9380933.160266036,0.12342,0.12147,0.10663,0.10498,0.12342,0.13518,0.1657,0.17701,0.0,0.01371,0.05908,0.07202
12808661487.4035,562,Niger,303821313.83500004,331921584.673,303821313.83500004,331921584.673,78.23704372283339,6041.7445127954625,0.0,115910.29586001301,2955965.710614497,2862157.41108643,2530379.1196590182,2468367.2245732206,2955965.710614497,3253131.4759238916,4037409.796078144,4260708.454741106,100.0,100.0,0.0,0.0009,0.0,390974.0648374618,1507030.6764191259,1792341.2301678858,0.02308,0.02235,0.01976,0.01927,0.02308,0.0254,0.03152,0.03326,0.0,0.00305,0.01177,0.01399
