,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
380,372,Ireland,008,Albania,38, Artificial graphite,2030732.0,46.803999999999995,Ireland -  Artificial graphite
381,792,TÃ¼rkiye,008,Albania,56," Sanitary towels, diapers and similar articles",2024220.0,427.577,"TÃ¼rkiye -  Sanitary towels, diapers and similar articles"
382,792,TÃ¼rkiye,008,Albania,20," Cucumbers,gherkins, prepared or preserved by vinegar",2011688.0,571.994,"TÃ¼rkiye -  Cucumbers,gherkins, prepared or preserved by vinegar"
383,792,TÃ¼rkiye,008,Albania,89," Cruise ships, excursion boats, ferry boats",2004663.0,448.09000000000003,"TÃ¼rkiye -  Cruise ships, excursion boats, ferry boats"
384,792,TÃ¼rkiye,008,Albania,38, Artificial graphite,1993728.0,1622.828,TÃ¼rkiye -  Artificial graphite
385,372,Ireland,008,Albania,30," Glands and other organs, dried, for therapeutic uses",1989228.0,119.0,"Ireland -  Glands and other organs, dried, for therapeutic uses"
386,807,North Macedonia,008,Albania,84, Nuclear reactors,1984619.0,371.55,North Macedonia -  Nuclear reactors
387,100,Bulgaria,008,Albania,15," Lard, other pig fat and poultry fat, rendered",1982162.0,1961.7549999999999,"Bulgaria -  Lard, other pig fat and poultry fat, rendered"
388,756,Switzerland,008,Albania,84, Nuclear reactors,1964511.0,582.129,Switzerland -  Nuclear reactors
389,380,Italy,008,Albania,29, Saturated acyclic hydrocarbons,1964052.0,692.535,Italy -  Saturated acyclic hydrocarbons
390,807,North Macedonia,008,Albania,01," Horses, live pure-bred breeding",1951731.0,1013.746,"North Macedonia -  Horses, live pure-bred breeding"
391,756,Switzerland,008,Albania,24," Tobacco, unmanufactured, not stemmed or stripped",1949586.0,88.69800000000001,"Switzerland -  Tobacco, unmanufactured, not stemmed or stripped"
392,807,North Macedonia,008,Albania,08," Coconuts, fresh or dried",1943047.0,2844.86,"North Macedonia -  Coconuts, fresh or dried"
393,250,France,008,Albania,40," Natural rubber latex, including prevulcanised",1939264.0,322.76800000000003,"France -  Natural rubber latex, including prevulcanised"
394,724,Spain,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",1938036.0,83.252,"Spain -  Mens, boys overcoats, etc, of wool or hair, knit"
395,499,Montenegro,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,1923328.0,3188.413,Montenegro -  Mineral and aerated waters not sweetened or flavoured
396,792,TÃ¼rkiye,008,Albania,08," Coconuts, fresh or dried",1914409.0,2655.828,"TÃ¼rkiye -  Coconuts, fresh or dried"
397,792,TÃ¼rkiye,008,Albania,83, Padlocks of base metal,1898224.0,584.961,TÃ¼rkiye -  Padlocks of base metal
398,616,Poland,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",1896363.0,866.0809999999999,"Poland -  Bovine carcasses and half carcasses, fresh or chilled"
399,616,Poland,008,Albania,94," Seats, aircraft",1895121.0,320.806,"Poland -  Seats, aircraft"
400,276,Germany,008,Albania,32, Quebracho tanning extract,1884796.0,592.332,Germany -  Quebracho tanning extract
401,792,TÃ¼rkiye,008,Albania,32, Quebracho tanning extract,1883324.0,869.987,TÃ¼rkiye -  Quebracho tanning extract
402,360,Indonesia,008,Albania,85, Electric motors of an output < 37.5 watts,1859172.0,62.949999999999996,Indonesia -  Electric motors of an output < 37.5 watts
403,764,Thailand,008,Albania,48, Newsprint,1856859.0,1796.254,Thailand -  Newsprint
404,807,North Macedonia,008,Albania,32, Quebracho tanning extract,1852961.0,4882.486999999999,North Macedonia -  Quebracho tanning extract
405,276,Germany,008,Albania,59, Gum or amylaceous covered textiles for book covers et,1852093.0,162.4,Germany -  Gum or amylaceous covered textiles for book covers et
406,764,Thailand,008,Albania,84, Nuclear reactors,1844649.0,164.087,Thailand -  Nuclear reactors
407,300,Greece,008,Albania,36, Propellent powders,1841598.0,250.864,Greece -  Propellent powders
408,688,Serbia,008,Albania,83, Padlocks of base metal,1837966.0,142.053,Serbia -  Padlocks of base metal
409,100,Bulgaria,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",1837031.0,2729.186,"Bulgaria -  Pig iron, non-alloy, <0.5% phosphorus"
410,807,North Macedonia,008,Albania,28, Chlorine,1826672.0,6064.603,North Macedonia -  Chlorine
411,360,Indonesia,008,Albania,48, Newsprint,1822734.0,1877.159,Indonesia -  Newsprint
412,490,"Other Asia, nes",008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,1804764.0,1226.336,"Other Asia, nes -  Polyethylene - specific gravity <0.94 in primary form"
413,704,Viet Nam,008,Albania,09," Coffee, not roasted, not decaffeinated",1801090.0,802.7860000000001,"Viet Nam -  Coffee, not roasted, not decaffeinated"
414,784,United Arab Emirates,008,Albania,87, Pedestrian controlled tractors,1797357.0,243.592,United Arab Emirates -  Pedestrian controlled tractors
415,276,Germany,008,Albania,44, Fuel wood,1781720.0,2108.326,Germany -  Fuel wood
