,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
160,484,Mexico,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,211926.596,160.02216099999998,Mexico -  Mineral and aerated waters not sweetened or flavoured
161,156,China,008,Albania,07," Potatoes seed, fresh or chilled",113570.017,158.95,"China -  Potatoes seed, fresh or chilled"
162,156,China,008,Albania,56," Sanitary towels, diapers and similar articles",332901.111,149.31292000000002,"China -  Sanitary towels, diapers and similar articles"
163,124,Canada,008,Albania,07," Potatoes seed, fresh or chilled",108986.22,149.027965,"Canada -  Potatoes seed, fresh or chilled"
164,380,Italy,008,Albania,82, Spades and shovels,2008836.556,148.90746,Italy -  Spades and shovels
165,276,Germany,008,Albania,33, Essential oils of bergamot,538436.531,139.02,Germany -  Essential oils of bergamot
166,528,Netherlands (Kingdom of the),008,Albania,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",335380.867,134.35,"Netherlands (Kingdom of the) -  Bulbs, tubers, corms, crowns and rhizomes, dormant"
167,792,Türkiye,008,Albania,60," ""Long pile"" knit or crochet textile fabric",745032.031,132.69629999999998,"Türkiye -  ""Long pile"" knit or crochet textile fabric"
168,392,Japan,008,Albania,84, Nuclear reactors,492928.861,124.139713,Japan -  Nuclear reactors
169,784,United Arab Emirates,008,Albania,87, Pedestrian controlled tractors,601030.82,123.889,United Arab Emirates -  Pedestrian controlled tractors
170,380,Italy,008,Albania,95," Rideable wheeled toys, dolls carriages",595159.993,123.20045,"Italy -  Rideable wheeled toys, dolls carriages"
171,156,China,008,Albania,34," Soaps, for toilet use, solid",205550.762,122.93032000000001,"China -  Soaps, for toilet use, solid"
172,156,China,008,Albania,35, Casein,298249.032,117.87389999999999,China -  Casein
173,380,Italy,008,Albania,89," Cruise ships, excursion boats, ferry boats",254692.315,115.2376,"Italy -  Cruise ships, excursion boats, ferry boats"
174,724,Spain,008,Albania,73, Sheet piling of iron or steel,126542.826,108.2466,Spain -  Sheet piling of iron or steel
175,032,Argentina,008,Albania,03," Ornamental fish, live",853645.062,106.488,"Argentina -  Ornamental fish, live"
176,380,Italy,008,Albania,51," Greasy shorn wool, not carded or combed",2152392.946,104.92292,"Italy -  Greasy shorn wool, not carded or combed"
177,156,China,008,Albania,66, Garden and similar umbrellas,295687.272,103.73664,China -  Garden and similar umbrellas
178,792,Türkiye,008,Albania,25," Salt (sodium chloride) including solution, salt water",19335.111,103.06,"Türkiye -  Salt (sodium chloride) including solution, salt water"
179,156,China,008,Albania,32, Quebracho tanning extract,313420.46,100.13694,China -  Quebracho tanning extract
180,380,Italy,008,Albania,49," Brochures, leaflets and similar, in single sheets",1238333.509,96.52855000000001,"Italy -  Brochures, leaflets and similar, in single sheets"
181,528,Netherlands (Kingdom of the),008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",90819.335,96.1,"Netherlands (Kingdom of the) -  Bovine carcasses and half carcasses, fresh or chilled"
182,380,Italy,008,Albania,29, Saturated acyclic hydrocarbons,207385.481,95.898394,Italy -  Saturated acyclic hydrocarbons
183,792,Türkiye,008,Albania,84, Nuclear reactors,236873.223,91.77568,Türkiye -  Nuclear reactors
184,040,Austria,008,Albania,87, Pedestrian controlled tractors,215124.832,91.615,Austria -  Pedestrian controlled tractors
185,792,Türkiye,008,Albania,96," Worked ivory, articles of ivory",328952.451,90.32735000000001,"Türkiye -  Worked ivory, articles of ivory"
186,724,Spain,008,Albania,84, Nuclear reactors,316885.391,87.913,Spain -  Nuclear reactors
187,764,Thailand,008,Albania,16," Sausages, similar products of meat, meat offal & bloo",266795.454,87.852,"Thailand -  Sausages, similar products of meat, meat offal & bloo"
188,250,France,008,Albania,84, Nuclear reactors,135240.971,84.969,France -  Nuclear reactors
189,458,Malaysia,008,Albania,40," Natural rubber latex, including prevulcanised",311360.189,83.11362,"Malaysia -  Natural rubber latex, including prevulcanised"
190,380,Italy,008,Albania,90," Optical fibres, except for telecommunications",2698021.617,78.85479,"Italy -  Optical fibres, except for telecommunications"
191,840,United States of America,008,Albania,84, Nuclear reactors,634634.586,78.189923,United States of America -  Nuclear reactors
192,826,United Kingdom,008,Albania,63, Electric blankets of textile material,76619.422,74.616,United Kingdom -  Electric blankets of textile material
193,156,China,008,Albania,30," Glands and other organs, dried, for therapeutic uses",463553.136,72.19441,"China -  Glands and other organs, dried, for therapeutic uses"
194,056,Belgium,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",75525.697,67.2,"Belgium -  Animal or vegetable fertilizers, in packs >10 kg"
195,156,China,008,Albania,33, Essential oils of bergamot,230860.384,65.09056,China -  Essential oils of bergamot
