,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
680,008,Albania,840,United States of America,16," Sausages, similar products of meat, meat offal & bloo",11299.365,0.313858,"United States of America -  Sausages, similar products of meat, meat offal & bloo"
681,008,Albania,826,United Kingdom,07," Potatoes seed, fresh or chilled",11296.804,3.804799,"United Kingdom -  Potatoes seed, fresh or chilled"
682,008,Albania,686,Senegal,28, Chlorine,11190.056,29.112282999999998,Senegal -  Chlorine
683,008,Albania,604,Peru,72," Pig iron, non-alloy, <0.5% phosphorus",10980.2,4.991,"Peru -  Pig iron, non-alloy, <0.5% phosphorus"
684,008,Albania,156,China,42," Saddlery and harness, of any material",10939.372,1.25334,"China -  Saddlery and harness, of any material"
685,008,Albania,499,Montenegro,95," Rideable wheeled toys, dolls carriages",10885.215,0.7145,"Montenegro -  Rideable wheeled toys, dolls carriages"
686,008,Albania,634,Qatar,22, Mineral and aerated waters not sweetened or flavoured,10812.404,65.087607,Qatar -  Mineral and aerated waters not sweetened or flavoured
687,008,Albania,826,United Kingdom,40," Natural rubber latex, including prevulcanised",10761.593,3.6838040000000003,"United Kingdom -  Natural rubber latex, including prevulcanised"
688,008,Albania,688,Serbia,32, Quebracho tanning extract,10753.232,63.496867,Serbia -  Quebracho tanning extract
689,008,Albania,499,Montenegro,87, Pedestrian controlled tractors,10749.858,2.0875,Montenegro -  Pedestrian controlled tractors
690,008,Albania,784,United Arab Emirates,61," Mens, boys overcoats, etc, of wool or hair, knit",10660.107,0.259423,"United Arab Emirates -  Mens, boys overcoats, etc, of wool or hair, knit"
691,008,Albania,048,Bahrain,64," Waterproof footwear (Wellingtons etc), metal toe cap",10637.873,0.5923160000000001,"Bahrain -  Waterproof footwear (Wellingtons etc), metal toe cap"
692,008,Albania,348,Hungary,84, Nuclear reactors,10587.874,1.273971,Hungary -  Nuclear reactors
693,008,Albania,528,Netherlands (Kingdom of the),87, Pedestrian controlled tractors,10546.237,0.682154,Netherlands (Kingdom of the) -  Pedestrian controlled tractors
694,008,Albania,643,Russian Federation,43," Raw mink furskins, whole",10476.407,0.018989000000000002,"Russian Federation -  Raw mink furskins, whole"
695,008,Albania,554,New Zealand,12, Soya beans,10405.996,0.967043,New Zealand -  Soya beans
696,008,Albania,040,Austria,25," Salt (sodium chloride) including solution, salt water",10402.564,70.56414699999999,"Austria -  Salt (sodium chloride) including solution, salt water"
697,008,Albania,688,Serbia,41," Bovine skins, whole, raw",10283.513,2.62577,"Serbia -  Bovine skins, whole, raw"
698,008,Albania,702,Singapore,84, Nuclear reactors,10139.718,0.8111799999999999,Singapore -  Nuclear reactors
699,008,Albania,446,"China, Macao SAR",22, Mineral and aerated waters not sweetened or flavoured,10119.758,3.069,"China, Macao SAR -  Mineral and aerated waters not sweetened or flavoured"
700,008,Albania,068,Bolivia (Plurinational State of),76," Aluminium unwrought, not alloyed",10059.07,1.4118,"Bolivia (Plurinational State of) -  Aluminium unwrought, not alloyed"
701,008,Albania,480,Mauritius,32, Quebracho tanning extract,9940.156,54.845,Mauritius -  Quebracho tanning extract
702,008,Albania,807,North Macedonia,28, Chlorine,9896.398,35.34,North Macedonia -  Chlorine
703,008,Albania,480,Mauritius,69," Bricks, blocks and ceramic goods of siliceous earths",9863.766,24.261,"Mauritius -  Bricks, blocks and ceramic goods of siliceous earths"
704,008,Albania,076,Brazil,94," Seats, aircraft",9805.0,0.31,"Brazil -  Seats, aircraft"
705,008,Albania,422,Lebanon,19," Infant foods of cereals, flour, starch or milk, retai",9793.145,4.469711,"Lebanon -  Infant foods of cereals, flour, starch or milk, retai"
706,008,Albania,784,United Arab Emirates,27," Anthracite, not agglomerated",9777.469,9.321795,"United Arab Emirates -  Anthracite, not agglomerated"
707,008,Albania,764,Thailand,61," Mens, boys overcoats, etc, of wool or hair, knit",9748.282,0.263212,"Thailand -  Mens, boys overcoats, etc, of wool or hair, knit"
708,008,Albania,276,Germany,32, Quebracho tanning extract,9694.273,19.773763,Germany -  Quebracho tanning extract
709,008,Albania,578,Norway,73, Sheet piling of iron or steel,9606.418,1.899748,Norway -  Sheet piling of iron or steel
710,008,Albania,620,Portugal,19," Infant foods of cereals, flour, starch or milk, retai",9569.516,3.414,"Portugal -  Infant foods of cereals, flour, starch or milk, retai"
711,008,Albania,100,Bulgaria,96," Worked ivory, articles of ivory",9544.035,4.64,"Bulgaria -  Worked ivory, articles of ivory"
712,008,Albania,203,Czechia,27," Anthracite, not agglomerated",9526.488,17.260254,"Czechia -  Anthracite, not agglomerated"
713,008,Albania,203,Czechia,65," Hat-forms, etc of felt, not shaped, no formed brim",9496.643,0.252066,"Czechia -  Hat-forms, etc of felt, not shaped, no formed brim"
714,008,Albania,048,Bahrain,94," Seats, aircraft",9458.645,5.335857,"Bahrain -  Seats, aircraft"
715,008,Albania,528,Netherlands (Kingdom of the),76," Aluminium unwrought, not alloyed",9428.559,1.014447,"Netherlands (Kingdom of the) -  Aluminium unwrought, not alloyed"
716,008,Albania,688,Serbia,83, Padlocks of base metal,9402.988,0.293163,Serbia -  Padlocks of base metal
717,008,Albania,348,Hungary,73, Sheet piling of iron or steel,9399.462,5.427627,Hungary -  Sheet piling of iron or steel
718,008,Albania,188,Costa Rica,61," Mens, boys overcoats, etc, of wool or hair, knit",9390.393,0.291401,"Costa Rica -  Mens, boys overcoats, etc, of wool or hair, knit"
719,008,Albania,410,"Korea, Republic of",68," Stone setts, curbstones, flagstones (except slate)",9344.53,22.985832,"Korea, Republic of -  Stone setts, curbstones, flagstones (except slate)"
720,008,Albania,470,Malta,20," Cucumbers,gherkins, prepared or preserved by vinegar",9317.181,2.282,"Malta -  Cucumbers,gherkins, prepared or preserved by vinegar"
721,008,Albania,784,United Arab Emirates,39, Polyethylene - specific gravity <0.94 in primary form,9216.463,22.455513,United Arab Emirates -  Polyethylene - specific gravity <0.94 in primary form
722,008,Albania,372,Ireland,94," Seats, aircraft",9194.481,0.401536,"Ireland -  Seats, aircraft"
723,008,Albania,048,Bahrain,44, Fuel wood,9127.493,29.31368,Bahrain -  Fuel wood
724,008,Albania,756,"Switzerland, Liechtenstein",72," Pig iron, non-alloy, <0.5% phosphorus",9120.291,4.038112,"Switzerland, Liechtenstein -  Pig iron, non-alloy, <0.5% phosphorus"
725,008,Albania,156,China,68," Stone setts, curbstones, flagstones (except slate)",9088.584,20.116408,"China -  Stone setts, curbstones, flagstones (except slate)"
726,008,Albania,686,Senegal,37, X-ray plates and films,9026.77,0.39154300000000003,Senegal -  X-ray plates and films
727,008,Albania,499,Montenegro,63, Electric blankets of textile material,9019.129,3.441,Montenegro -  Electric blankets of textile material
728,008,Albania,578,Norway,84, Nuclear reactors,8996.459,0.40304500000000004,Norway -  Nuclear reactors
729,008,Albania,440,Lithuania,64," Waterproof footwear (Wellingtons etc), metal toe cap",8981.274,0.5883849999999999,"Lithuania -  Waterproof footwear (Wellingtons etc), metal toe cap"
730,008,Albania,203,Czechia,61," Mens, boys overcoats, etc, of wool or hair, knit",8814.364,0.205249,"Czechia -  Mens, boys overcoats, etc, of wool or hair, knit"
731,008,Albania,686,Senegal,19," Infant foods of cereals, flour, starch or milk, retai",8765.506,12.289161,"Senegal -  Infant foods of cereals, flour, starch or milk, retai"
732,008,Albania,233,Estonia,64," Waterproof footwear (Wellingtons etc), metal toe cap",8650.043,0.2201,"Estonia -  Waterproof footwear (Wellingtons etc), metal toe cap"
733,008,Albania,348,Hungary,76," Aluminium unwrought, not alloyed",8580.08,6.232254,"Hungary -  Aluminium unwrought, not alloyed"
734,008,Albania,784,United Arab Emirates,24," Tobacco, unmanufactured, not stemmed or stripped",8572.762,3.0965369999999997,"United Arab Emirates -  Tobacco, unmanufactured, not stemmed or stripped"
735,008,Albania,410,"Korea, Republic of",74, Copper mattes,8542.958,2.254641,"Korea, Republic of -  Copper mattes"
736,008,Albania,504,Morocco,94," Seats, aircraft",8503.632,0.297519,"Morocco -  Seats, aircraft"
737,008,Albania,100,Bulgaria,26," Iron ore, concentrate, not iron pyrites,unagglomerate",8492.67,27.870378000000002,"Bulgaria -  Iron ore, concentrate, not iron pyrites,unagglomerate"
738,008,Albania,442,Luxembourg,87, Pedestrian controlled tractors,8476.525,0.9352820000000001,Luxembourg -  Pedestrian controlled tractors
739,008,Albania,384,Côte d'Ivoire,84, Nuclear reactors,8469.449,1.575,Côte d'Ivoire -  Nuclear reactors
740,008,Albania,258,French Polynesia,84, Nuclear reactors,8458.301,1.046172,French Polynesia -  Nuclear reactors
